location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20240101T0000,6.5302453
20240101T0100,6.2402453
20240101T0200,6.210245
20240101T0300,6.170245
20240101T0400,6.1602454
20240101T0500,6.130245
20240101T0600,6.020245
20240101T0700,6.040245
20240101T0800,6.290245
20240101T0900,6.8402452
20240101T1000,7.4302454
20240101T1100,8.080246
20240101T1200,8.210245
20240101T1300,8.190246
20240101T1400,8.290245
20240101T1500,8.080246
20240101T1600,7.0102453
20240101T1700,5.7202454
20240101T1800,5.2602453
20240101T1900,5.420245
20240101T2000,5.110245
20240101T2100,5.3102455
20240101T2200,5.6002455
20240101T2300,5.8302455
20240102T0000,6.1602454
20240102T0100,6.6402454
20240102T0200,7.3502455
20240102T0300,7.5702453
20240102T0400,7.7202454
20240102T0500,7.960245
20240102T0600,8.350245
20240102T0700,8.590245
20240102T0800,8.820246
20240102T0900,9.110246
20240102T1000,9.270246
20240102T1100,9.8102455
20240102T1200,9.890245
20240102T1300,9.820246
20240102T1400,9.690246
20240102T1500,9.670245
20240102T1600,9.740245
20240102T1700,9.930245
20240102T1800,10.280245
20240102T1900,10.590245
20240102T2000,10.770246
20240102T2100,10.940246
20240102T2200,11.170245
20240102T2300,11.150246
20240103T0000,10.960245
20240103T0100,10.930245
20240103T0200,10.930245
20240103T0300,10.760245
20240103T0400,10.670245
20240103T0500,10.670245
20240103T0600,10.630245
20240103T0700,10.520246
20240103T0800,10.790245
20240103T0900,11.270246
20240103T1000,11.630245
20240103T1100,11.880245
20240103T1200,12.270246
20240103T1300,12.360246
20240103T1400,12.230246
20240103T1500,11.680245
20240103T1600,11.340245
20240103T1700,11.000245
20240103T1800,10.100245
20240103T1900,9.920245
20240103T2000,10.000245
20240103T2100,9.880245
20240103T2200,9.600245
20240103T2300,9.540245
20240104T0000,9.330245
20240104T0100,9.160245
20240104T0200,8.980246
20240104T0300,8.760245
20240104T0400,8.490246
20240104T0500,8.360246
20240104T0600,8.480246
20240104T0700,8.330246
20240104T0800,8.350245
20240104T0900,8.480246
20240104T1000,8.730246
20240104T1100,9.210245
20240104T1200,9.740245
20240104T1300,9.940246
20240104T1400,9.890245
20240104T1500,9.380245
20240104T1600,7.3902454
20240104T1700,8.090245
20240104T1800,5.480245
20240104T1900,5.1202455
20240104T2000,4.7602453
20240104T2100,4.2402453
20240104T2200,3.9602456
20240104T2300,4.0502453
20240105T0000,4.150245
20240105T0100,4.3302455
20240105T0200,4.380245
20240105T0300,4.4402456
20240105T0400,4.770245
20240105T0500,5.0502453
20240105T0600,5.5602455
20240105T0700,5.8902454
20240105T0800,5.8902454
20240105T0900,6.5902452
20240105T1000,6.900245
20240105T1100,7.4302454
20240105T1200,7.900245
20240105T1300,8.240246
20240105T1400,8.280246
20240105T1500,8.090245
20240105T1600,7.420245
20240105T1700,7.110245
20240105T1800,6.4902453
20240105T1900,5.9702454
20240105T2000,5.650245
20240105T2100,5.860245
20240105T2200,5.9502454
20240105T2300,5.790245
20240106T0000,5.7402453
20240106T0100,5.630245
20240106T0200,5.4102454
20240106T0300,5.210245
20240106T0400,5.040245
20240106T0500,4.920245
20240106T0600,4.8502455
20240106T0700,4.5802455
20240106T0800,4.6602454
20240106T0900,5.2002454
20240106T1000,5.5602455
20240106T1100,5.980245
20240106T1200,6.2602453
20240106T1300,6.2602453
20240106T1400,6.0702453
20240106T1500,5.860245
20240106T1600,5.4702454
20240106T1700,5.210245
20240106T1800,5.1602454
20240106T1900,5.1202455
20240106T2000,4.960245
20240106T2100,4.790245
20240106T2200,4.730245
20240106T2300,4.6002455
20240107T0000,4.5702453
20240107T0100,4.4902453
20240107T0200,4.3302455
20240107T0300,4.1902456
20240107T0400,4.0902452
20240107T0500,3.8402452
20240107T0600,3.6002455
20240107T0700,3.4702454
20240107T0800,3.4102454
20240107T0900,3.5402455
20240107T1000,4.1002455
20240107T1100,4.3702455
20240107T1200,4.7402453
20240107T1300,4.730245
20240107T1400,4.5402455
20240107T1500,4.0402455
20240107T1600,3.4702454
20240107T1700,2.7902455
20240107T1800,2.2102454
20240107T1900,1.7202454
20240107T2000,1.3402455
20240107T2100,0.9502454
20240107T2200,0.4902454
20240107T2300,0.080245405
20240108T0000,-0.35975462
20240108T0100,-0.72975457
20240108T0200,-0.9597546
20240108T0300,-1.1597546
20240108T0400,-1.1797546
